tanggal,kurs
2022-02-16,14278
2022-02-17,14301
2022-02-18,14339
2022-02-21,14329
2022-02-22,14362
2022-02-23,14355
2022-02-24,14371
2022-02-25,14369
2022-03-01,14350
2022-03-02,14373
2022-03-04,14383
2022-03-07,14411
2022-03-08,14394
2022-03-09,14371
2022-03-10,14298
2022-03-11,14306
2022-03-14,14328
2022-03-15,14321
2022-03-16,14311
2022-03-17,14290
2022-03-18,14340
2022-03-21,14341
2022-03-22,14358
2022-03-23,14351
2022-03-24,14361
2022-03-25,14341
2022-03-28,14360
2022-03-29,14364
2022-03-30,14349
2022-03-31,14357
2022-04-01,14364
2022-04-04,14362
2022-04-05,14348
2022-04-06,14364
2022-04-07,14359
2022-04-08,14365
2022-04-11,14370
2022-04-12,14364
2022-04-13,14359
2022-04-14,14349
2022-04-18,14356
2022-04-19,14347
2022-04-20,14351
2022-04-21,14348
2022-04-22,14361
2022-04-25,14452
2022-04-26,14412
2022-04-27,14418
2022-04-28,14480
2022-05-09,14534
2022-05-10,14546
2022-05-11,14546
2022-05-12,14585
2022-05-13,14619
2022-05-17,14651
2022-05-18,14682
2022-05-19,14731
2022-05-20,14661
2022-05-23,14665
2022-05-24,14653
2022-05-25,14645
2022-05-27,14578
2022-05-30,14544
2022-05-31,14592
2022-06-02,14526
2022-06-03,14431
2022-06-06,14462
2022-06-07,14464
2022-06-08,14477
2022-06-09,14555
2022-06-10,14569
2022-06-13,14672
2022-06-14,14729
2022-06-15,14746
2022-06-16,14741
2022-06-17,14828
2022-06-20,14836
2022-06-21,14804
2022-06-22,14860
2022-06-23,14835
2022-06-24,14846
2022-06-27,14802
2022-06-28,14837
2022-06-29,14848
2022-06-30,14882
2022-07-01,14956
2022-07-04,14960
2022-07-05,14990
2022-07-06,15015
2022-07-07,14986
2022-07-08,14981
2022-07-11,14969
2022-07-12,14993
2022-07-13,14985
2022-07-14,14999
2022-07-15,14999
2022-07-18,14986
2022-07-19,14992
2022-07-20,14984
2022-07-21,15017
2022-07-22,15024
2022-07-25,14992
2022-07-26,14984
2022-07-27,15020
2022-07-28,14958
2022-07-29,14860
2022-08-01,14874
2022-08-02,14888
2022-08-03,14917
2022-08-04,14929
2022-08-05,14904
2022-08-08,14915
2022-08-09,14862
2022-08-10,14875
2022-08-11,14799
2022-08-12,14688
2022-08-15,14727
2022-08-16,14767
2022-08-18,14822
2022-08-19,14858
2022-08-22,14882
2022-08-23,14893
2022-08-24,14851
2022-08-25,14827
2022-08-26,14814
2022-08-29,14887
2022-08-30,14875
2022-08-31,14853
2022-09-01,14884
2022-09-02,14900
2022-09-05,14920
2022-09-06,14885
2022-09-07,14927
2022-09-08,14905
2022-09-09,14846
2022-09-12,14839
2022-09-13,14861
2022-09-14,14923
2022-09-15,14899
2022-09-16,14939
2022-09-19,14980
2022-09-20,14975
2022-09-21,15011
2022-09-22,15033
2022-09-23,15035
2022-09-26,15119
2022-09-27,15155
2022-09-28,15243
2022-09-29,15247
2022-09-30,15232
2022-10-03,15293
2022-10-04,15276
2022-10-05,15196
2022-10-06,15197
2022-10-07,15246
2022-10-10,15299
2022-10-11,15362
2022-10-12,15373
2022-10-13,15357
2022-10-14,15390
2022-10-17,15480
2022-10-18,15469
2022-10-19,15491
2022-10-20,15579
2022-10-21,15610
2022-10-24,15590
2022-10-25,15616
2022-10-26,15596
2022-10-27,15573
2022-10-28,15542
2022-10-31,15596
2022-11-01,15647
2022-11-02,15652
2022-11-03,15681
2022-11-04,15736
2022-11-07,15692
2022-11-08,15684
2022-11-09,15654
2022-11-10,15701
2022-11-11,15493
2022-11-14,15499
2022-11-15,15564
2022-11-16,15610
2022-11-17,15687
2022-11-18,15692
2022-11-21,15707
2022-11-22,15716
2022-11-23,15700
2022-11-24,15647
2022-11-25,15668
2022-11-28,15729
2022-11-29,15737
2022-11-30,15742
